"grande arche de la défense,eiffel tower,arc de triomphe,conciergerie","establishment,establishment,establishment,museum"
"forum des halles,sainte chapelle,basilique du sacré-cœur,place du tertre","political,church,church,route"
eiffel tower,establishment
arc de triomphe,establishment
parc des buttes-chaumont,park
"eiffel tower,jardin du luxembourg","establishment,park"
"Église st-Étienne du mont,eiffel tower,place de la bastille","church,establishment,route"
musée du louvre,museum
eiffel tower,establishment
"musée de montmartre,la seine","museum,political"
eiffel tower,establishment
eiffel tower,establishment
"musée du louvre,musée dorsay,eiffel tower","museum,museum,establishment"
eiffel tower,establishment
eiffel tower,establishment
cimetière de montmartre,cemetery
"sainte chapelle,musée picasso,arc de triomphe,jardin des tuileries","church,museum,establishment,park"
eiffel tower,establishment
musée de montmartre,museum
sainte chapelle,church
"institut du monde arabe,musée rodin,musée des arts et métiers,jardin des tuileries,musée de lorangerie,grande arche de la défense,Église st-germain lauxerrois,musée carnavalet,jardin des plantes,mosquée de paris","library,museum,museum,park,museum,establishment,church,museum,park,mosque"
eiffel tower,establishment
"sainte chapelle,quartier latin,eiffel tower,catacombes de paris,arc de triomphe,centre pompidou,jardin du luxembourg","church,political,establishment,cemetery,establishment,museum,park"
eiffel tower,establishment
"eiffel tower,panthéon,place de la concorde","establishment,establishment,establishment"
eiffel tower,establishment
"sainte chapelle,basilique du sacré-cœur,panthéon,centre pompidou,parc du champ de mars,Église st-germain des prés,jardin des tuileries,arc de triomphe du carrousel,musée du louvre,pletzl,Église st-eustache,musée de lÉrotisme","church,church,establishment,museum,park,church,park,establishment,museum,"" political"",church,museum"
gare montparnasse,transit_station
"assemblée nationale,basilique du sacré-cœur,conciergerie,place de la concorde,musée dorsay,eiffel tower,arc de triomphe,champs-Élysées","establishment,church,museum,establishment,museum,establishment,establishment,route"
"Église st-eustache,Église st-sulpice,mémorial des martyrs de la déportation","church,church,establishment"
"eiffel tower,centre pompidou","establishment,museum"
"cimetière de montmartre,eiffel tower,arc de triomphe","cemetery,establishment,establishment"
arc de triomphe,establishment
"hôtel des invalides,bois de boulogne,musée rodin","museum,park,museum"
stade de france,establishment
musée rodin,museum
"musée dorsay,pont neuf,musée picasso","museum,establishment,museum"
eiffel tower,establishment
"stade de france,eiffel tower","establishment,establishment"
eiffel tower,establishment
stade de france,establishment
arc de triomphe,establishment
"basilique du sacré-cœur,jeu de paume,arc de triomphe,arc de triomphe du carrousel","church,museum,establishment,establishment"
arc de triomphe,establishment
"conciergerie,musée dorsay,musée du louvre,eiffel tower,arc de triomphe","museum,museum,museum,establishment,establishment"
eiffel tower,establishment
hôtel des invalides,museum
"jardin du luxembourg,eiffel tower,la seine,jardin des tuileries","park,establishment,political,park"
"basilique du sacré-cœur,place de la concorde,musée dorsay,institut de france,hôtel de ville,musée de la monnaie de paris,grande arche de la défense,av des champs-Élysées,fondation cartier pour lart contemporain,arc de triomphe","church,establishment,museum,establishment,local_government_office,museum,establishment,route,museum,establishment"
jardin du luxembourg,park
cimetière de montmartre,cemetery
"palais de tokyo,eiffel tower,arc de triomphe du carrousel","museum,establishment,establishment"
bibliothèque nationale de france,library
eiffel tower,establishment
eiffel tower,establishment
"eiffel tower,arc de triomphe","establishment,establishment"
"musée dorsay,eiffel tower","museum,establishment"
"panthéon,place de la concorde,musée des arts et métiers,jardin du luxembourg,stade de france,jardin du palais royal","establishment,establishment,museum,park,establishment,park"
"hôtel des invalides,place de la concorde,arc de triomphe du carrousel","museum,establishment,establishment"
"institut du monde arabe,arènes de lutèce,eiffel tower,pont neuf,forum des halles,jardin du luxembourg","library,establishment,establishment,establishment,political,park"
"musée dorsay,eiffel tower","museum,establishment"
eiffel tower,establishment
eiffel tower,establishment
"eiffel tower,arc de triomphe","establishment,establishment"
arc de triomphe,establishment
"hôtel des invalides,eiffel tower,arc de triomphe,place de la concorde","museum,establishment,establishment,establishment"
eiffel tower,establishment
stade de france,establishment
"jardin du luxembourg,eiffel tower,jardin des tuileries","park,establishment,park"
catacombes de paris,cemetery
arc de triomphe,establishment
"eiffel tower,arc de triomphe,arc de triomphe du carrousel","establishment,establishment,establishment"
parc des buttes-chaumont,park
"champs-Élysées,basilique du sacré-cœur,place de la concorde,Église st-germain des prés,eiffel tower,musée carnavalet,musée de lÉrotisme","route,church,establishment,church,establishment,museum,museum"
eiffel tower,establishment
hôtel des invalides,museum
"centre pompidou,arc de triomphe","museum,establishment"
eiffel tower,establishment
